state,district,latitude,longitude,date,rainfall_mm,river_level_mm
Odisha,Jabalpur,19.8041,83.6131,11-06-2024,23.3,4145
West Bengal,Prayagraj,22.564,89.7685,22-09-2024,98.0,4377
Odisha,Coimbatore,19.6091,83.1708,15-08-2024,0.0,3839
Gujarat,Nizamabad,23.583,71.64,27-07-2024,16.9,3651
Gujarat,Hubballi,22.7083,71.8517,23-06-2024,86.2,4652
Uttar Pradesh,Pune,27.0459,81.0916,16-11-2024,0.0,3953
Bihar,Salem,24.8503,85.5679,26-07-2024,93.2,4636
Kerala,Durgapur,8.7395,76.6862,16-07-2024,57.2,4132
Assam,Bhopal,27.3365,91.1303,16-10-2024,7.8,3909
Tamil Nadu,Mumbai,10.2104,77.6802,26-06-2024,57.2,3844
Bihar,Warangal,26.8615,84.9668,01-09-2024,0.0,3657
Karnataka,Nizamabad,15.655,74.269,27-08-2024,90.6,4078
Tamil Nadu,Jabalpur,9.8287,78.5451,04-08-2024,71.4,3693
Odisha,Karimnagar,20.3932,85.0913,29-07-2024,61.3,4410
Maharashtra,Belagavi,19.7664,76.651,30-10-2024,3.3,3672
Odisha,Salem,21.9772,83.8766,15-08-2024,0.0,3475
Kerala,Ajmer,9.0016,75.842,29-09-2024,79.8,4248
Bihar,Mangaluru,26.6794,85.8047,03-10-2024,1.4,3913
Bihar,Gwalior,24.774,84.2587,06-11-2024,1.7,4263
Uttar Pradesh,Gaya,25.4745,81.0185,27-08-2024,37.8,4242
Karnataka,Warangal,16.4129,75.1873,11-10-2024,33.6,3392
Gujarat,Patna,23.2082,71.79,31-07-2024,43.6,4355
West Bengal,Chennai,24.0629,88.1061,24-07-2024,54.2,4890
Gujarat,Kanpur,21.1986,72.1122,23-11-2024,27.5,3661
Odisha,Nashik,21.4787,84.2533,01-09-2024,34.3,3960
Odisha,Aurangabad,21.1266,84.7644,30-09-2024,53.7,4939
Tamil Nadu,Nagpur,9.7013,78.7998,23-10-2024,0.0,3296
Karnataka,Durgapur,16.4506,76.438,17-11-2024,0.0,3214
West Bengal,Mysuru,21.9957,87.724,25-10-2024,4.3,3866
Gujarat,Bengaluru,23.7448,70.8274,17-08-2024,36.4,3953
Gujarat,Jabalpur,22.899,70.8453,17-10-2024,0.0,3405
Kerala,Aurangabad,9.5485,77.5479,28-09-2024,52.2,3895
Gujarat,Bengaluru,21.5207,71.3159,09-07-2024,122.1,5104
Karnataka,Aurangabad,14.2054,74.9143,20-07-2024,83.2,4213
Tamil Nadu,Ujjain,11.018,79.3343,17-11-2024,14.3,3322
Maharashtra,Kolkata,19.6896,76.6638,11-11-2024,24.1,3472
Tamil Nadu,Bhopal,9.9748,78.5739,11-08-2024,88.6,3561
Gujarat,Madurai,21.0745,72.6881,13-06-2024,108.6,4608
Uttar Pradesh,Lucknow,27.7407,80.0019,05-07-2024,13.4,3965
Bihar,Jabalpur,24.6678,86.7857,02-09-2024,149.9,5833
Karnataka,Gwalior,14.3296,75.706,29-10-2024,18.8,3456
Uttar Pradesh,Nagpur,27.6581,81.6421,13-09-2024,122.2,4964
Kerala,Darbhanga,9.3054,77.9593,30-09-2024,74.0,4197
Gujarat,Siliguri,22.5523,72.5845,11-08-2024,84.7,3977
Uttar Pradesh,Aurangabad,26.0321,81.8018,09-07-2024,83.6,4060
Bihar,Nashik,26.0169,86.1038,10-08-2024,89.1,4543
Bihar,Coimbatore,24.4433,86.7587,15-08-2024,67.0,4904
Karnataka,Mysuru,14.0618,74.9744,30-06-2024,59.4,3611
Odisha,Bhagalpur,21.7633,85.0223,10-09-2024,62.9,4238
West Bengal,Muzaffarpur,21.5568,88.2407,25-09-2024,89.6,4758
Uttar Pradesh,Hyderabad,27.1014,80.966,14-06-2024,60.3,4446
Karnataka,Jaipur,15.0243,76.3183,03-06-2024,46.2,3325
Uttar Pradesh,Udaipur,26.4317,80.549,19-11-2024,0.0,3677
Uttar Pradesh,Howrah,25.3661,82.1803,08-09-2024,34.7,4366
Assam,Madurai,26.9133,92.1713,14-09-2024,62.9,4661
Bihar,Khammam,24.9301,86.7516,07-11-2024,55.6,4796
Kerala,Bengaluru,10.8956,76.5707,07-07-2024,36.7,4325
Assam,Hyderabad,24.9601,92.5474,21-11-2024,0.0,4234
Assam,Bhopal,27.3427,91.1789,04-09-2024,66.8,5143
Karnataka,Jabalpur,16.1191,74.3412,06-09-2024,41.1,3546
Kerala,Chennai,10.1912,77.4115,16-11-2024,1.5,3652
Bihar,Varanasi,26.4446,86.2199,15-08-2024,46.3,3940
West Bengal,Karimnagar,22.6365,88.7029,12-11-2024,0.9,3545
Kerala,Trichy,10.457,76.191,20-08-2024,65.5,4198
Maharashtra,Warangal,20.1672,75.2713,06-07-2024,85.1,4136
Assam,Nizamabad,27.2423,92.5476,19-09-2024,37.6,4605
Uttar Pradesh,Belagavi,26.4132,79.6522,10-11-2024,20.7,4092
Uttar Pradesh,Gwalior,27.4795,80.4078,14-11-2024,9.8,3582
Bihar,Hubballi,25.949,85.1442,21-07-2024,35.3,4377
Karnataka,Gaya,15.0423,75.6349,28-08-2024,10.1,3234
Bihar,Jabalpur,24.4962,84.4016,31-07-2024,6.7,3783
Gujarat,Ajmer,21.5773,71.1885,28-09-2024,82.5,4276
Assam,Indore,25.4476,92.6072,23-10-2024,36.8,4657
Gujarat,Trichy,21.7662,71.5482,06-06-2024,38.6,3583
West Bengal,Patna,22.8651,89.3909,29-09-2024,67.5,4205
Bihar,Udaipur,26.8029,83.9352,05-09-2024,34.0,4401
Kerala,Khammam,10.2228,77.2646,20-10-2024,1.4,3686
Kerala,Salem,9.0644,77.8551,28-09-2024,112.3,4927
Gujarat,Darbhanga,23.2797,69.7299,12-07-2024,11.9,3673
Odisha,Nizamabad,20.4062,83.3698,18-11-2024,15.1,4047
Karnataka,Darbhanga,15.142,75.8502,04-06-2024,65.4,4184
Gujarat,Alwar,21.5464,71.0137,29-06-2024,75.8,4142
Karnataka,Belagavi,15.9494,74.4437,11-08-2024,41.5,3882
Odisha,Bhagalpur,21.0041,84.8814,13-10-2024,19.1,3658
Assam,Gwalior,27.2179,90.7388,28-10-2024,9.8,4091
Bihar,Hyderabad,24.9815,84.934,23-11-2024,22.6,3837
Assam,Gaya,25.1192,91.2083,28-09-2024,87.3,5085
West Bengal,Muzaffarpur,21.6469,88.6644,23-09-2024,0.0,3573
Uttar Pradesh,Varanasi,26.9648,79.8447,24-11-2024,32.9,3674
Bihar,Mumbai,27.1715,85.1841,05-08-2024,56.8,3983
West Bengal,Alwar,23.9082,87.3957,23-11-2024,21.4,3786
Assam,Jabalpur,25.2498,91.139,18-06-2024,86.6,4625
Maharashtra,Durgapur,20.0352,74.9716,14-08-2024,110.8,4045
Gujarat,Ujjain,21.229,69.7326,13-07-2024,91.5,4338
Kerala,Varanasi,10.9646,76.6535,16-09-2024,36.8,3881
Assam,Patna,27.696,92.16,01-10-2024,0.0,4090
Bihar,Bhagalpur,26.7922,83.8807,04-10-2024,18.7,3981
